region,year,quarter,gdp
Costa Rica,2015,3,11799.27001468716
Costa Rica,2015,4,12629.47863876726
Costa Rica,2016,1,12810.02124393214
Costa Rica,2016,2,12514.61902310607
Costa Rica,2016,3,12473.570679059841
Costa Rica,2016,4,13540.390352132501
Costa Rica,2017,1,13720.83221322837
Costa Rica,2017,2,13354.45126147723
Costa Rica,2017,3,13332.45624253496
Costa Rica,2017,4,14315.9449065649
Costa Rica,2018,1,14516.22197226595
Costa Rica,2018,2,14142.863628095341
Costa Rica,2018,3,13999.88652414576
Costa Rica,2018,4,14948.062495822733
Costa Rica,2019,1,15209.72567633287
Costa Rica,2019,2,14552.78596861191
Costa Rica,2019,3,14589.727713995682
Costa Rica,2019,4,15493.39756114981
Costa Rica,2020,1,15316.5313725262
Costa Rica,2020,2,12981.47858077211
China,2011,1,1570028.168549121
China,2011,2,1786829.623891661
China,2011,3,1902042.7804903379
China,2011,4,2074117.852133659
China,2012,1,1763711.248822104
China,2012,2,1973554.498575874
China,2012,3,2075282.5625723838
China,2012,4,2281509.94998348
China,2013,1,1945436.1343067838
China,2013,2,2156873.9102224726
China,2013,3,2287682.1638826327
China,2013,4,2521369.666308417
China,2014,1,2115411.721456042
China,2014,2,2351807.3635083837
China,2014,3,2486990.419861613
China,2014,4,2717591.063911731
China,2015,1,2271379.223444841
China,2015,2,2533052.8391479626
China,2015,3,2654002.3825138826
China,2015,4,2894086.0238134908
China,2016,1,2440782.2239138996
China,2016,2,2714376.4631008497
China,2016,3,2860869.984953233
China,2016,4,3173293.4158890056
China,2017,1,2710924.4116456867
China,2017,2,3014100.7931240727
China,2017,3,3179967.582415945
China,2017,4,3525423.7042461378
China,2018,1,2987416.1498337486
China,2018,2,3365820.8028363376
China,2018,3,3523802.1267449968
China,2018,4,3889515.193095931
China,2019,1,3277161.541388412
China,2019,2,3645525.6389831016
China,2019,3,3790323.9435775727
China,2019,4,4178225.119499263
China,2020,1,3103454.372278697
China,2020,2,3758785.087749079
China,2020,3,4000171.7018878795
Saudi Arabia,2011,1,159677.12001995964
Saudi Arabia,2011,2,168119.68002101497
Saudi Arabia,2011,3,168383.97335438133
